,name,obsid,main_type,AGN,Candidate_XB*,Orion_V*,QSO,YSO
13160,2CXO J111024.0+554417,2025,AGN,0.3343187882534243,0.0035748760915202977,0.19627167582610527,0.3145029283246328,0.15133173150431742
13162,2CXO J111026.8-373620,3217,Orion_V*,0.00013339525194191722,0.011551830642324042,0.6237507442737302,1.1656169008741004e-05,0.36455237366299525
13164,2CXO J111031.6-604656,2782,AGN,0.2856513272072503,0.008595849779412143,0.26861512611546523,0.18394371911284144,0.25319397778503094
13176,2CXO J111124.2-763742,1867,QSO,0.2669016961351901,0.0456749026455102,0.14641141969848204,0.33450647389464633,0.20650550762617154
13187,2CXO J111150.5+353959,9252,Orion_V*,0.1701482754888628,0.012947053456979931,0.373693827277375,0.3160992233492754,0.127111620427507
13193,2CXO J111205.4-763137,1867,AGN,0.31106903965057003,0.03470879329727027,0.1531000567095262,0.24071888998115634,0.2604032203614772
13195,2CXO J111214.8-261549,915,AGN,0.34981774425586665,0.05677288595349732,0.11211046898196031,0.29337977246852814,0.18791912834014757
13197,2CXO J111215.0+553223,2025,AGN,0.28171080109217467,0.03364738845486871,0.19977442508231721,0.2796883333018941,0.20517905206874537
13201,2CXO J111225.4-263543,2078,AGN,0.33183701527781556,0.027781710530583644,0.15997737743726145,0.3245228174630079,0.15588107929133144
13203,2CXO J111230.9-764234,1867,YSO,0.2665070273659508,0.007932434464349191,0.15459671073903794,0.09465361487342998,0.4763102125572321
13208,2CXO J111240.6-270246,2078,QSO,0.2609491162895017,0.015219326594895503,0.14295178005044643,0.3029706005838602,0.27790917648129615
13210,2CXO J111241.5-261923,915,AGN,0.36818851082696813,0.0024844779870861187,0.15033496169415134,0.26349781848029313,0.21549423101150122
13212,2CXO J111248.1-261729,915,Orion_V*,0.21246347457828038,0.009132325978752642,0.35905002175433665,0.19445732279642067,0.22489685489220987
13213,2CXO J111250.5-260728,915,AGN,0.37774664165125027,0.027820784585827135,0.09157341662965447,0.31228763353530203,0.1905715235979661
13214,2CXO J111251.7-261901,915,QSO,0.24686121717287673,0.14102050399484292,0.1466235181913152,0.30808735357761025,0.157407407063355
13216,2CXO J111254.6-262105,915,AGN,0.43990384531206767,0.013990015921179972,0.09833843691385015,0.287386638933688,0.16038106291921422
13219,2CXO J111301.5-262852,915,AGN,0.40456889987835204,0.00044929010743443513,0.028568596140304738,0.28735236654475765,0.2790608473291511
13229,2CXO J111333.2-261459,915,QSO,0.2947129998220556,0.010978217275801533,0.12683140251880376,0.36154585871179984,0.2059315216715392
13244,2CXO J111442.6+324152,3137,QSO,0.2520371950489161,0.09108898557119095,0.11064742285633787,0.45954622182579846,0.08668017469775662
13247,2CXO J111445.5-611500,12328,YSO,0.015675016995473585,0.010463941208772955,0.426117376090486,7.608666003001779e-05,0.5476675790452374
13251,2CXO J111453.5-612423,13162,YSO,0.06045176429302957,0.10891273898047281,0.2655078128211055,0.0036265938456577196,0.5615010900597344
13260,2CXO J111506.8-611535,12328,YSO,0.02462135633063264,0.1240696571639916,0.1996359729336075,0.003340902905541373,0.6483321106662269
13262,2CXO J111506.8-611535,12330,YSO,0.12614420246043295,0.08412178029145691,0.2548298044479351,0.027070710789092987,0.5078335020110821
13264,2CXO J111506.9-611539,12328,YSO,0.10922286333371958,0.08685655903014533,0.32968083957978567,0.035938457700789045,0.43830128035556043
13265,2CXO J111506.9-611539,633,YSO,0.03718228614935688,0.1360161750655875,0.3331780143800941,0.006279804161686056,0.48734372024327544
13266,2CXO J111506.9-611539,12330,YSO,0.19545329910371356,0.04019772853412835,0.3129523008967017,0.05631664956942453,0.3950800218960319
13267,2CXO J111506.9-611539,12329,Orion_V*,0.15846201026237497,0.11214740649161206,0.5122975551354713,0.05494799361987442,0.16214503449066736
13268,2CXO J111507.0-611539,12328,YSO,0.026495223258855515,0.12512386464097125,0.24896116568226995,0.005459066390162511,0.5939606800277407
13269,2CXO J111507.0-611539,13162,YSO,0.07083775969292534,0.13070823710509866,0.3406211261178849,0.014344704753741661,0.4434881723303495
13270,2CXO J111507.0-611539,12329,Orion_V*,0.11113557390547253,0.15920781665141986,0.4579754356830112,0.02423668479819059,0.24744448896190566
13271,2CXO J111507.0-611539,12330,YSO,0.05340650631467338,0.07183236626095721,0.2594519702368295,0.012276287510455822,0.6030328696770841
13272,2CXO J111507.0-611539,633,YSO,0.044432658525908324,0.16940692511783115,0.2742998098895586,0.0073583222646563685,0.5045022842020457
13289,2CXO J111507.5-611654,12330,YSO,0.0357474136072244,0.020491036861336027,0.22358885789086505,0.0005508267045951971,0.7196218649359793
13300,2CXO J111510.0-611538,13162,YSO,0.015400771443685375,0.06648944105617648,0.2411679982961515,0.0008485682193654598,0.6760932209846211
13303,2CXO J111510.0-611538,12328,YSO,0.05132317737152045,0.07889410618657978,0.37649120551678655,0.015432399032838027,0.47785911189227515
13313,2CXO J111552.7-070637,14961,QSO,0.29858461943366593,0.08105444594229448,0.14882975381069546,0.3341061813299847,0.13742499948335943
13315,2CXO J111607.3+013509,9375,Orion_V*,6.943925666078916e-05,0.005613378005232831,0.5387120729817576,1.6621734622043403e-08,0.4556050931346142
13321,2CXO J111619.0+012932,9375,AGN,0.3480665915830589,0.031456363887784645,0.17384460410325892,0.30071608376297176,0.14591635666292577
13328,2CXO J111712.9+174053,5836,AGN,0.3659510940781942,0.018252958715892113,0.13109318505891687,0.30438465550892096,0.1803181066380758
13329,2CXO J111723.3+175451,5836,AGN,0.42259067224272595,0.018075979261450156,0.1238299871949583,0.13721765576977574,0.2982857055310898
13330,2CXO J111725.5+075332,363,QSO,0.2981247169908964,0.003880075296960759,0.19723274315966824,0.3590005599042858,0.14176190464818872
13331,2CXO J111725.7+174639,5836,QSO,0.24863264853172584,0.13171687169045662,0.20067876858307826,0.2749246608632471,0.14404705033149226
13362,2CXO J111929.9+530552,3951,QSO,0.33336090316350625,0.0012067397003744404,0.11917799454511963,0.3701088302130126,0.17614553237798714
13364,2CXO J111938.5+125231,9548,QSO,0.2628601577813526,0.00858046366497662,0.1399834973040206,0.37753194776776267,0.2110439334818874
13366,2CXO J111942.3+132012,2039,AGN,0.42386837109614556,0.0005946237195037583,0.11811160825598899,0.2684700943533551,0.1889553025750066
13368,2CXO J111946.3+213709,5790,AGN,0.38184362140836337,0.0034433291602797055,0.13136083779777613,0.3391540513319165,0.14419816030166432
13372,2CXO J111959.7-115610,3235,QSO,0.20474139165070943,0.14060272338676605,0.16634684893072896,0.28413847603977516,0.20417055999202052
13381,2CXO J112014.5+125946,9548,AGN,0.30089404875569287,0.07650148852797545,0.15464175994178456,0.20943752240275346,0.2585251803717936
13384,2CXO J112014.9+125933,9548,AGN,0.32722999077258713,0.10952678369869566,0.12545827552261848,0.20085556513099892,0.2369293848750998
13390,2CXO J112024.3+133822,2039,YSO,0.23184763902174188,0.08426175041342858,0.20590760843856154,0.1672243470088683,0.31075865511739975
13392,2CXO J112029.2-120520,3235,YSO,0.2706427595626376,0.01495444058075234,0.2766624734040397,0.0817090112297738,0.35603131522279663
