,angDist,main_type,col1,ra.1,dec.1,obsid,name,cluster,silhouette_prob,silhouette
40725,0.448673,X,24844,201.36958277142844,-43.01672317881246,7797,2CXO J132528.6-430100,5,0.5538096856249178,0.1076193712498357
40727,0.089772,X,24849,201.3697623200851,-42.99670952806053,7798,2CXO J132528.7-425948,2,0.5137296015380762,0.0274592030761524
40728,0.089772,X,24850,201.3697623200851,-42.99670952806053,7799,2CXO J132528.7-425948,2,0.565616302604266,0.1312326052085319
40729,0.089772,X,24851,201.3697623200851,-42.99670952806053,962,2CXO J132528.7-425948,5,0.5890572011970957,0.1781144023941913
40730,0.089772,X,24852,201.3697623200851,-42.99670952806053,8489,2CXO J132528.7-425948,5,0.6045256838496339,0.2090513676992678
40731,0.089772,X,24853,201.3697623200851,-42.99670952806053,7797,2CXO J132528.7-425948,2,0.5127256833786477,0.0254513667572953
40732,0.089772,X,24854,201.3697623200851,-42.99670952806053,3965,2CXO J132528.7-425948,2,0.5390050744053293,0.0780101488106586
40733,0.587635,X,24857,201.37038720508644,-43.01583091451732,7798,2CXO J132528.8-430056,0,0.4854351610509708,-0.0291296778980584
40735,0.587635,X,24858,201.37038720508644,-43.01583091451732,2978,2CXO J132528.8-430056,0,0.5871639724331335,0.174327944866267
40737,0.587635,X,24859,201.37038720508644,-43.01583091451732,10722,2CXO J132528.8-430056,0,0.5079197160688922,0.0158394321377843
40739,0.587635,X,24860,201.37038720508644,-43.01583091451732,3965,2CXO J132528.8-430056,0,0.5326670457994511,0.0653340915989023
40741,0.587635,X,24861,201.37038720508644,-43.01583091451732,8489,2CXO J132528.8-430056,0,0.5083841198139111,0.0167682396278221
40743,0.587635,X,24862,201.37038720508644,-43.01583091451732,962,2CXO J132528.8-430056,0,0.578055497215636,0.1561109944312719
40745,0.587635,X,24863,201.37038720508644,-43.01583091451732,8490,2CXO J132528.8-430056,0,0.5231117912376296,0.0462235824752592
40747,0.587635,X,24864,201.37038720508644,-43.01583091451732,7797,2CXO J132528.8-430056,0,0.5233060060582152,0.0466120121164303
40749,0.344233,X,24870,201.3727374845469,-43.01890678537626,8490,2CXO J132529.4-430108,2,0.5365821871229303,0.0731643742458604
40751,0.344233,X,24871,201.3727374845469,-43.01890678537626,7797,2CXO J132529.4-430108,0,0.5390387624714174,0.0780775249428347
40753,0.666509,X,24872,201.37316862829493,-43.0154246525148,7800,2CXO J132529.5-430055,0,0.5205274580522989,0.0410549161045979
40755,0.666509,X,24873,201.37316862829493,-43.0154246525148,3965,2CXO J132529.5-430055,0,0.5690935348330228,0.1381870696660456
40757,0.666509,X,24874,201.37316862829493,-43.0154246525148,10722,2CXO J132529.5-430055,0,0.5363430684304975,0.0726861368609951
40759,0.666509,X,24875,201.37316862829493,-43.0154246525148,2978,2CXO J132529.5-430055,0,0.5569983898477073,0.1139967796954147
40761,0.666509,X,24876,201.37316862829493,-43.0154246525148,8489,2CXO J132529.5-430055,0,0.5235000089671416,0.0470000179342831
40763,0.666509,X,24877,201.37316862829493,-43.0154246525148,7799,2CXO J132529.5-430055,0,0.5448494892974889,0.0896989785949778
40765,0.666509,X,24878,201.37316862829493,-43.0154246525148,7798,2CXO J132529.5-430055,5,0.5455892445474441,0.091178489094888
40767,0.666509,X,24879,201.37316862829493,-43.0154246525148,8490,2CXO J132529.5-430055,0,0.5086076490682424,0.0172152981364848
40769,0.666509,X,24880,201.37316862829493,-43.0154246525148,7797,2CXO J132529.5-430055,0,0.5506179121529604,0.1012358243059207
40771,0.148744,QSO,24881,201.37378512738144,65.25365236624725,7882,2CXO J132529.7+651513,2,0.5407096460824,0.0814192921648
40773,0.696796,X,24882,201.3739192502627,-43.014795619798335,7799,2CXO J132529.7-430053,1,0.544740240946033,0.089480481892066
40774,0.696796,X,24883,201.3739192502627,-43.014795619798335,7798,2CXO J132529.7-430053,0,0.5116345063627086,0.0232690127254172
40775,0.696796,X,24884,201.3739192502627,-43.014795619798335,10722,2CXO J132529.7-430053,1,0.523085103640556,0.0461702072811121
40776,0.696796,X,24885,201.3739192502627,-43.014795619798335,3965,2CXO J132529.7-430053,0,0.4890795647645243,-0.0218408704709512
40777,0.696796,X,24886,201.3739192502627,-43.014795619798335,2978,2CXO J132529.7-430053,2,0.5254497094920105,0.050899418984021
40778,0.696796,X,24887,201.3739192502627,-43.014795619798335,7800,2CXO J132529.7-430053,3,0.5256260918884607,0.0512521837769213
40779,0.696796,X,24888,201.3739192502627,-43.014795619798335,8490,2CXO J132529.7-430053,5,0.5096664399407307,0.0193328798814613
40780,0.696796,X,24889,201.3739192502627,-43.014795619798335,8489,2CXO J132529.7-430053,0,0.502327383090664,0.004654766181328
40781,0.696796,X,24890,201.3739192502627,-43.014795619798335,7797,2CXO J132529.7-430053,3,0.525266680291997,0.0505333605839939
40782,1.896722,X,24891,201.37435931377289,-43.01522570208505,7799,2CXO J132529.8-430054,1,0.544740240946033,0.089480481892066
40783,1.896722,X,24892,201.37435931377289,-43.01522570208505,7798,2CXO J132529.8-430054,0,0.5116345063627086,0.0232690127254172
40784,1.896722,X,24893,201.37435931377289,-43.01522570208505,7800,2CXO J132529.8-430054,3,0.5256260918884607,0.0512521837769213
40785,0.925195,X,24894,201.3750505275385,-43.0134876802323,7800,2CXO J132530.0-430048,0,0.5796952617715213,0.1593905235430426
40788,0.925195,X,24895,201.3750505275385,-43.0134876802323,7798,2CXO J132530.0-430048,0,0.4982555225419224,-0.0034889549161551
40791,0.925195,X,24896,201.3750505275385,-43.0134876802323,7799,2CXO J132530.0-430048,0,0.5713677485435709,0.1427354970871417
40794,0.257877,X,24897,201.37559604649323,-43.01327186914505,7800,2CXO J132530.1-430047,0,0.5796952617715213,0.1593905235430426
40797,0.257877,X,24898,201.37559604649323,-43.01327186914505,10722,2CXO J132530.1-430047,0,0.6152881209191113,0.2305762418382227
40800,0.257877,X,24899,201.37559604649323,-43.01327186914505,8489,2CXO J132530.1-430047,0,0.5411798758295117,0.0823597516590233
40803,0.257877,X,24900,201.37559604649323,-43.01327186914505,7798,2CXO J132530.1-430047,0,0.4982555225419224,-0.0034889549161551
40806,0.257877,X,24901,201.37559604649323,-43.01327186914505,7799,2CXO J132530.1-430047,0,0.5713677485435709,0.1427354970871417
40809,0.257877,X,24902,201.37559604649323,-43.01327186914505,8490,2CXO J132530.1-430047,0,0.5474812375826263,0.0949624751652526
40812,0.257877,X,24903,201.37559604649323,-43.01327186914505,7797,2CXO J132530.1-430047,1,0.5885628721406208,0.1771257442812415
40815,2.296812,X,24904,201.376283176995,-43.0127707410722,7800,2CXO J132530.3-430045,0,0.5796952617715213,0.1593905235430426
40816,2.296812,X,24905,201.376283176995,-43.0127707410722,7798,2CXO J132530.3-430045,0,0.4982555225419224,-0.0034889549161551
40817,2.296812,X,24906,201.376283176995,-43.0127707410722,7799,2CXO J132530.3-430045,0,0.5713677485435709,0.1427354970871417
40818,0.484164,X,24907,201.3772434849061,-42.98748286978975,962,2CXO J132530.5-425914,2,0.5022500229959164,0.0045000459918327
40819,1.98583,X,24908,201.3785412006,-43.0116322765,7800,2CXO J132530.8-430041,0,0.5568060765050578,0.1136121530101154
40820,1.98583,X,24909,201.3785412006,-43.0116322765,2978,2CXO J132530.8-430041,0,0.6335644827436872,0.2671289654873743
40821,1.98583,X,24910,201.3785412006,-43.0116322765,3965,2CXO J132530.8-430041,0,0.5464670098768766,0.092934019753753
40822,1.98583,X,24911,201.3785412006,-43.0116322765,10722,2CXO J132530.8-430041,1,0.5305297122793982,0.0610594245587963
40823,1.98583,X,24912,201.3785412006,-43.0116322765,7799,2CXO J132530.8-430041,0,0.502503689342157,0.0050073786843139
40824,1.98583,X,24913,201.3785412006,-43.0116322765,7798,2CXO J132530.8-430041,0,0.595093264562386,0.190186529124772
