,name,obsid,main_type,BYDra,Candidate_YSO,Orion_V*,TTau*,YSO
7010,2CXO J053514.4-052238,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7023,2CXO J053514.6-052233,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7025,2CXO J053514.6-052249,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7036,2CXO J053514.7-052237,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7045,2CXO J053514.8-052222,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7047,2CXO J053514.8-052225,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7049,2CXO J053514.8-052231,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7072,2CXO J053514.9-052339,4396,Orion_V*,0.1470309915564058,0.11454129409015679,0.44602800727887154,0.0553310110114253,0.23706869606314063
7075,2CXO J053514.9-052339,3744,Orion_V*,0.06630425538260065,0.11662786203035395,0.3702891249794488,0.1651410179780963,0.2816377396295003
7079,2CXO J053514.9-052412,3744,YSO,0.12712637685199377,0.1461199807400327,0.21038591543999716,0.18776502740809534,0.3286026995598811
7080,2CXO J053514.9-052412,4396,Candidate_YSO,0.3018140467420374,0.34555358994143104,0.07947345709540478,0.10279773562911299,0.1703611705920138
7085,2CXO J053515.0-052231,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7099,2CXO J053515.1-052254,4396,YSO,0.12145450997341885,0.16890076908665683,0.20041523488321303,0.15928480693273728,0.34994467912397414
7101,2CXO J053515.1-052254,4395,Orion_V*,0.07102812270540304,0.14072119370054534,0.34573627319493033,0.153776243012842,0.2887381673862792
7103,2CXO J053515.1-052254,4373,Orion_V*,0.05765257184034836,0.09026169519366349,0.36202139639401165,0.15291983089354652,0.3371445056784301
7104,2CXO J053515.1-052254,4374,YSO,0.03696864782197001,0.06912064857743634,0.3669303305544768,0.14246429773261404,0.3845160753135027
7106,2CXO J053515.2-052256,3744,Orion_V*,0.0975703730832573,0.09220184449817385,0.4568069248761971,0.1274568675533956,0.22596398998897607
7107,2CXO J053515.2-052256,3498,Orion_V*,0.1867363013699262,0.18523088036652569,0.4699133453608597,0.033053486028173304,0.12506598687451512
7109,2CXO J053515.2-052256,4396,Orion_V*,0.09578823755227003,0.0825848583276483,0.44276165516656085,0.15379611765966647,0.2250691312938543
7111,2CXO J053515.2-052256,4373,Orion_V*,0.12094071435929431,0.07749291843894389,0.4466977674922772,0.13242914103279796,0.22243945867668663
7112,2CXO J053515.2-052256,1522,BYDra,0.3464309294249704,0.3427515722300909,0.06780212605569994,0.16997782152252808,0.07303755076671069
7113,2CXO J053515.2-052256,4374,Orion_V*,0.10505929006143606,0.0734809748098433,0.4918560935206351,0.09105982940343785,0.23854381220464774
7119,2CXO J053515.3-052215,4373,YSO,0.05797107337469745,0.08028275890097585,0.35355407042438297,0.10785437046138001,0.4003377268385636
7120,2CXO J053515.3-052215,3498,YSO,0.07594364778298042,0.12769313221221923,0.32806087773238013,0.0879882950254675,0.38031404724695267
7121,2CXO J053515.3-052215,3744,Candidate_YSO,0.3911279207538529,0.4082999911596826,0.052823151766009616,0.08139932784290954,0.06634960847754529
7125,2CXO J053515.3-052215,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7134,2CXO J053515.3-052333,3498,YSO,0.056644578660853526,0.08879251608685813,0.28746437999968144,0.13050729992909407,0.43659122532351285
7135,2CXO J053515.3-052333,4373,YSO,0.11251094050874386,0.16223903110811583,0.2667650622722003,0.11089440199687567,0.3475905641140643
7169,2CXO J053515.5-052218,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7171,2CXO J053515.5-052246,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7199,2CXO J053515.6-052338,4373,YSO,0.13719888418165468,0.18543910289129564,0.12513455067945892,0.07699676140447169,0.47523070084311914
7228,2CXO J053515.8-052245,4373,YSO,0.0698027165833072,0.1454659940726881,0.31741536159314304,0.1162999189293014,0.3510160088215603
7231,2CXO J053515.8-052245,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
7281,2CXO J053515.9-052352,3744,YSO,0.09527587421358746,0.09666523543981231,0.26434837608926803,0.0966702451954385,0.4470402690618937
7290,2CXO J053516.0-052306,4395,YSO,0.07303536422047312,0.07037229006015486,0.3551002158042535,0.10958649728422326,0.3919056326308953
7292,2CXO J053516.0-052306,4373,YSO,0.1337985136787254,0.11597212008101677,0.2671584537733619,0.15265745671731598,0.33041345574957987
7293,2CXO J053516.0-052306,1522,Orion_V*,0.07826516636307967,0.07172638967477978,0.32937914587117606,0.19139134308614214,0.3292379550048224
7294,2CXO J053516.0-052306,3744,Candidate_YSO,0.4076944194812466,0.4261436816133808,0.03098133475152922,0.10957811283822962,0.02560245131561386
7295,2CXO J053516.0-052306,3498,Orion_V*,0.07173651841770654,0.08637945591900664,0.3606501812340956,0.22405492092377982,0.25717892350541127
7297,2CXO J053516.0-052306,4396,Orion_V*,0.11687729037020689,0.10774953361495637,0.3239522914243157,0.13318661080973107,0.31823427378078994
7320,2CXO J053516.2-052210,4373,Candidate_YSO,0.28719687259332843,0.34752931951669686,0.02573206530610927,0.16706782979164717,0.17247391279221827
7321,2CXO J053516.2-052210,4374,Candidate_YSO,0.3938005122858752,0.4743640566381008,0.019112338664821638,0.08862777573111037,0.024095316680092075
7331,2CXO J053516.3-052150,4395,Orion_V*,0.03932444883937837,0.12754196908400436,0.34174797067215706,0.17178368476773875,0.3196019266367214
