,name,obsid,main_type,AGN,HMXB,Orion_V*,QSO,YSO
13301,2CXO J111510.0-611538,633,YSO,0.10672164352096748,0.2986039310414072,0.2165463037859821,0.04358624676899038,0.3345418748826529
13302,2CXO J111510.0-611538,12329,YSO,0.09937761897081646,0.2964576625149161,0.2909536952739799,0.016521312981589792,0.29668971025869784
13311,2CXO J111531.5-612225,12328,Orion_V*,0.23435950799199923,0.13107782098632326,0.2478017867950255,0.2400186789481721,0.1467422052784798
13326,2CXO J111651.7+175934,2073,HMXB,0.20884879274350804,0.26635363837420695,0.16895164125422651,0.15203558834222033,0.20381033928583808
13359,2CXO J111914.2-612749,2833,HMXB,0.17106609985066168,0.31736291190596777,0.24587213601278246,0.02058737035021346,0.2451114818803745
13371,2CXO J111955.1-611604,4676,AGN,0.5059934349344849,0.12650810858601994,0.2243328549546403,0.09439981536002158,0.048765786164833326
13394,2CXO J112036.8+130545,9548,QSO,0.18822601752462484,0.15940551994664878,0.14283432615272232,0.401221300185797,0.10831283619020711
13422,2CXO J112253.2+013258,3013,QSO,0.24228548511574607,0.2152656281529704,0.13350115280229596,0.27498935190744145,0.1339583820215461
13423,2CXO J112253.9+012649,3013,AGN,0.4296353099513264,0.0847172053844777,0.062341477461271264,0.4100544180898331,0.013251589113091454
13424,2CXO J112257.9+005659,4991,HMXB,0.26526222818637885,0.31903296074609633,0.10195235804197522,0.19369672881305378,0.12005572421249572
13433,2CXO J112321.7+014310,3013,AGN,0.34277213419260116,0.15637231579762564,0.0891154092335293,0.2601101282725475,0.1516300125036964
13435,2CXO J112323.2-370308,13722,Orion_V*,0.24545718337310365,0.19063807827983467,0.2520619804368344,0.18051444723922663,0.13132831067100056
13438,2CXO J112332.9-591809,6680,HMXB,0.22523237516866568,0.40589797358833785,0.147910574941925,0.059333823445931966,0.16162525285513935
13439,2CXO J112332.9-591809,6677,HMXB,0.20377837020773046,0.3643085006583172,0.23561447551735293,0.04445028344824516,0.15184837016835434
13465,2CXO J112428.9-592128,6679,YSO,0.10542911712032395,0.2708255983634818,0.23239729649153446,0.06925979558678391,0.32208819243787595
13466,2CXO J112428.9-592128,6677,QSO,0.27699040225267585,0.16025278719918282,0.09966753363836617,0.3241624761834955,0.13892680072627964
13474,2CXO J112443.8-592203,6677,HMXB,0.2067286413966981,0.34263488707491485,0.1150308833420359,0.11633806756324369,0.21926752062310756
13475,2CXO J112443.8-592203,6679,AGN,0.34744508862088186,0.2977293947468934,0.08612819998111397,0.14356131586419044,0.12513600078692025
13476,2CXO J112444.7+534336,10541,QSO,0.22460932676732712,0.12436129985450711,0.13324980342278697,0.449637108527611,0.06814246142776759
13484,2CXO J112514.7-592417,8447,AGN,0.37636924663133126,0.2899784304415664,0.05484043777599593,0.21153147284431303,0.06728041230679338
13488,2CXO J112609.4+570041,4660,QSO,0.24167305317857618,0.14295631519012142,0.13527936437921376,0.36088793853557594,0.11920332871651272
13610,2CXO J113304.9+255355,4425,HMXB,0.20807762823222636,0.33874330999686547,0.17662449248266307,0.17525212367613913,0.10130244561210615
13623,2CXO J113907.6-134710,3973,AGN,0.35087716289134546,0.3001285921508004,0.07908531366618492,0.15362586816939358,0.11628306312227542
13624,2CXO J113909.3-135050,3973,AGN,0.38335649143274075,0.19174423922703632,0.13610779952841973,0.22774068348995352,0.06105078632184974
13626,2CXO J113948.9+174040,6843,AGN,0.40400970838088274,0.13605958936690155,0.059425397126473434,0.3317813622628138,0.0687239428629284
13634,2CXO J114008.3+654617,2126,AGN,0.30842387541637784,0.2240319853326609,0.07116178816749107,0.27785459277225105,0.11852775831121921
13644,2CXO J114127.8+655556,2126,HMXB,0.21969015361210364,0.27036291283494857,0.1566209161614531,0.26234123675214654,0.09098478063934815
13693,2CXO J114604.4+472641,768,QSO,0.19964038702916057,0.19213183997813,0.08401670473426034,0.39937865311044607,0.12483241514800297
13695,2CXO J114605.3+313758,2984,AGN,0.33157583536702623,0.17022404927482254,0.15836774516554178,0.2938789484042859,0.045953421788323526
13707,2CXO J114655.0+471833,952,AGN,0.2638364531733984,0.24263250927202984,0.14874364948246574,0.22735308707572255,0.11743430099638344
13708,2CXO J114655.0+471833,1972,HMXB,0.2586715362359927,0.27109126586997717,0.12308984951476992,0.19254878519684182,0.15459856318241844
13726,2CXO J114847.4+593128,10389,QSO,0.3081655602547615,0.18726385431085588,0.08196351657300836,0.35757605191210096,0.06503101694927332
13733,2CXO J114854.9-620558,3820,Orion_V*,0.04053080702309255,0.3306175688579342,0.3517613762938122,0.02792292402962794,0.24916732379553316
13742,2CXO J114954.4-284721,1563,HMXB,0.24432802354480668,0.25325912754532987,0.2032101189065866,0.17303605759462004,0.12616667240865687
13757,2CXO J115058.8-285105,9507,YSO,0.1940373625494856,0.20575590782031025,0.22237918918629937,0.13422676993147867,0.24360077051242612
13766,2CXO J115246.6+440648,15389,AGN,0.300629166034322,0.18737640334395234,0.08441638083404454,0.25447943468163275,0.17309861510604843
13770,2CXO J115330.6-230048,2955,QSO,0.18813237129863708,0.22543635101589415,0.14619518708778126,0.33088639869168673,0.10934969190600081
13772,2CXO J115351.7+435453,15389,AGN,0.46671920893936836,0.10440323899834592,0.09412411839306431,0.32152430071903965,0.013229132950181794
13774,2CXO J115411.9-230529,2955,QSO,0.22968198302967022,0.2060250416710198,0.13444037806556666,0.3299766982443547,0.09987589898938873
13804,2CXO J115734.5+674117,13385,HMXB,0.2249294108608816,0.27251124854952313,0.1018776982664669,0.2286502545632675,0.17203138775986085
13815,2CXO J115905.9+434810,4739,HMXB,0.20131100460547435,0.29089629732757993,0.15530941434618048,0.28112515274390093,0.07135813097686426
13827,2CXO J115948.8+290928,874,HMXB,0.14208626315002906,0.28570292851072615,0.2350172349969525,0.10568100997748978,0.23151256336480247
13834,2CXO J120019.8-185235,3043,QSO,0.24311268264481814,0.16905743611057783,0.14431273541908674,0.4081824226329858,0.03533472319253157
13835,2CXO J120022.4-010831,11670,YSO,0.07178766583869906,0.17073946868616935,0.32626817982412437,0.0740837212175083,0.3571209644334989
13846,2CXO J120122.0+574549,5757,AGN,0.2546051267776429,0.17389707415539546,0.19634825121028124,0.1909332340065009,0.18421631385017948
13853,2CXO J120135.3-184752,3043,AGN,0.36589326399637967,0.24549584448617184,0.11358726617738368,0.06415886371333507,0.21086476162672965
13855,2CXO J120142.0-190222,3042,QSO,0.28518595990127105,0.19674561467649815,0.11040441883305925,0.31417044908379865,0.0934935575053728
13864,2CXO J120150.0-184953,3040,HMXB,0.08951475773961187,0.3980888622157057,0.25274249610072863,0.03446298932939822,0.22519089461455558
13882,2CXO J120153.5-185310,3718,HMXB,0.07359664193565071,0.4310504153850348,0.27429083166419593,0.10490709885196922,0.11615501216314927
13916,2CXO J120318.5+574814,5757,QSO,0.23237672474769103,0.20868000317911234,0.1610430091474587,0.2583062246272152,0.13959403829852254
13940,2CXO J120740.1-393058,3759,HMXB,0.05803358218251612,0.5404619224186712,0.14476702957209264,0.0031283679446727844,0.25360909788204744
13945,2CXO J120807.8-392828,3759,AGN,0.3038761577373911,0.11870236486011604,0.142270391559298,0.2741009211730679,0.1610501646701269
13949,2CXO J120859.0+651010,2071,HMXB,0.2456012992616877,0.29985654889489627,0.10169397886464585,0.1105991115018772,0.242249061476893
13954,2CXO J120933.8+650634,2071,QSO,0.2775244470733129,0.14974247191801635,0.17015724012081182,0.304320541989708,0.09825529889815102
13958,2CXO J121029.9+503210,11310,QSO,0.2516199014292077,0.18619270625345125,0.08246097491474379,0.38747008815299794,0.09225632924959916
13977,2CXO J121414.8-652536,13158,QSO,0.1280101227648907,0.23424225661090034,0.18756799376370945,0.28045024589955847,0.1697293809609411
13978,2CXO J121414.8-652536,11098,Orion_V*,0.15330603980783022,0.15001563137034682,0.3298622811173866,0.14938057156643575,0.21743547613800068
13979,2CXO J121414.8-652536,11100,AGN,0.3658351575871022,0.1634971159627823,0.11494191961078065,0.23977085457078737,0.11595495226854743
13981,2CXO J121414.8-652536,11101,YSO,0.07682887340311224,0.19971681702824384,0.3004973231115728,0.11613470952089273,0.30682227693617853
13982,2CXO J121415.8-652540,11099,HMXB,0.2790653365971264,0.32006899761821767,0.12596525828038396,0.0635897190535099,0.21131068845076215
13987,2CXO J121434.1-651926,11098,HMXB,0.1729267892303939,0.30116350443017953,0.24502652004128012,0.10719246328598306,0.17369072301216343
13988,2CXO J121434.1-651926,11099,QSO,0.3837209315326973,0.08238081382610589,0.053115146672752724,0.41398345061926806,0.0667996573491762
13989,2CXO J121434.1-651926,11101,AGN,0.3378492868930738,0.1356400624823615,0.11311796351786792,0.2880836395896414,0.12530904751705538
13990,2CXO J121434.1-651926,13158,AGN,0.31462922790558145,0.1385102887127706,0.14084171446683388,0.2925197793350439,0.11349898957977018
13996,2CXO J121504.3+542602,7071,QSO,0.2363572587224388,0.15953694359766546,0.15905464287595444,0.2784716811858864,0.16657947361805492
13998,2CXO J121509.0-653017,11098,AGN,0.3724446659252793,0.28202326451928506,0.04361260551218688,0.23436930183284774,0.06755016221040111
14010,2CXO J121526.9+471048,4738,AGN,0.4439041644257881,0.21186392740992704,0.055374178381101015,0.1686048859468535,0.12025284383633042
14011,2CXO J121527.1-003639,4201,QSO,0.2689991967502791,0.19171378134246417,0.13108625000922033,0.2748569449489949,0.13334382694904146
14017,2CXO J121611.9-003356,4201,QSO,0.2301898480547369,0.15837780976898425,0.10236986747294206,0.3923785735742853,0.11668390112905141
