,name,obsid,main_type,PartofG,Pulsar,Radio,Seyfert_2,YSO
10352,2CXO J083400.5-450125,12074,Pulsar,0.18799013596464104,0.255821898821825,0.25179986938939375,0.0783706976173876,0.2260173982067526
10407,2CXO J083615.1-262433,2075,Seyfert_2,0.1302168269388665,0.16833382437978753,0.19134852165023433,0.3561712122958534,0.15392961473525818
10485,2CXO J084730.0+175045,12385,Pulsar,0.18950788545679217,0.2592047020622159,0.2463329109108792,0.07208573318993533,0.23286876838017742
10539,2CXO J085240.8+332502,4205,Pulsar,0.16448034658000998,0.23821392401530253,0.21705211032556843,0.18365662161332744,0.1965969974657917
10540,2CXO J085241.3+332505,4205,Pulsar,0.16448034658000998,0.23821392401530253,0.21705211032556843,0.18365662161332744,0.1965969974657917
10542,2CXO J085241.8+332536,4205,Pulsar,0.16448034658000998,0.23821392401530253,0.21705211032556843,0.18365662161332744,0.1965969974657917
10803,2CXO J092324.6+510640,6096,Radio,0.1746663525824113,0.2247274808020679,0.24263971847226812,0.15569210096864505,0.20227434717460768
10892,2CXO J094548.1-142206,3956,Radio,0.19930288047677247,0.24779413258920405,0.2660494769656964,0.06075845430402397,0.22609505566430302
11115,2CXO J095550.2+694045,380,Seyfert_2,0.14245623846439295,0.23895830901546336,0.18792499908474658,0.2615164398793676,0.16914401355602945
11117,2CXO J095550.2+694045,2933,Seyfert_2,0.137460511302999,0.18412963950521005,0.1873218976658946,0.32101994304272063,0.1700680084831758
11119,2CXO J095550.2+694045,13796,Seyfert_2,0.11130117181084313,0.16041049658323553,0.1471905551038765,0.45269686304587414,0.12840091345617047
11121,2CXO J095550.2+694045,6361,Pulsar,0.18486006974178867,0.2630723792175963,0.2533519399266063,0.060748877589426056,0.23796673352458256
11193,2CXO J095619.7+694146,10545,Pulsar,0.17756648357335897,0.22601650145797236,0.22077789521696115,0.16821535009698588,0.20742376965472176
11703,2CXO J101623.6-585542,3855,Pulsar,0.1985019281202592,0.2591438430139629,0.2546113900263898,0.05402789794325347,0.2337149408961346
11708,2CXO J101720.9+413126,1520,Pulsar,0.19832705862020847,0.2693465032958952,0.2629530920699072,0.021714164536334093,0.24765918147765512
11714,2CXO J101805.6+214956,2760,Pulsar,0.1659671548852997,0.2220852903981006,0.21759978878100725,0.1933916391630632,0.2009561267725293
12267,2CXO J104356.1-593250,4495,Radio,0.16734473585023243,0.22701790719458492,0.23316803903106467,0.1525189570452129,0.21995036087890524
12590,2CXO J104413.1-594310,6402,Pulsar,0.19365676303269447,0.27089754698795204,0.25564492954355933,0.047766397510916964,0.23203436292487703
12599,2CXO J104417.4-603623,9495,Radio,0.1954618683105057,0.24551998478562354,0.24854838695778378,0.07817894302056695,0.23229081692552017
12734,2CXO J104511.8-595804,9492,YSO,0.07786880211172795,0.10858708963706788,0.10253457959026563,0.037841321331157814,0.6731682073297808
13052,2CXO J105410.3+573037,4936,Pulsar,0.19509604307165684,0.27089567008148246,0.2646071628879455,0.02100194317531601,0.24839918078359915
13068,2CXO J105659.1-033119,512,Pulsar,0.18502196442939503,0.24943585315752,0.24552411529395568,0.09514213596561527,0.22487593115351415
13259,2CXO J111506.8-611535,12329,Radio,0.19150122685634596,0.2640072583891646,0.2647617048763095,0.024446711755061107,0.2552830981231188
13378,2CXO J112011.0+531327,3951,Pulsar,0.19708058624479616,0.2686054903099428,0.2664977745652543,0.0202545511623541,0.24756159771765268
13407,2CXO J112100.1+530046,3951,Pulsar,0.19548799828356003,0.27303236867777547,0.26011511088967093,0.026113707896716607,0.24525081425227702
13502,2CXO J112829.5+583202,15619,Seyfert_2,0.07999845414893932,0.10452709138994354,0.11108119639071119,0.6087469227618771,0.09564633530852885
13503,2CXO J112829.5+583202,15077,Seyfert_2,0.09431316057412276,0.12511063791959529,0.13690542458929075,0.5290991143342479,0.11457166258274323
13519,2CXO J113006.3-144623,5708,Pulsar,0.17510725409492597,0.23728999304481055,0.23078081494510924,0.13915595085526902,0.2176659870598852
13649,2CXO J114355.7+195635,514,Pulsar,0.17034100946586309,0.23177880281277197,0.23119943471905613,0.16349271260568665,0.20318804039662214
14146,2CXO J122107.5+292643,7079,Pulsar,0.1917965099791649,0.26229763298221215,0.2622051236075419,0.05482393521099634,0.22887679822008475
14196,2CXO J122416.0+125856,5908,Radio,0.18446244509868182,0.23798955860055448,0.26575636230849226,0.09162257738093042,0.22016905661134095
14264,2CXO J122546.1+123943,8056,Seyfert_2,0.11927972081702236,0.16337450424604705,0.17689222125913084,0.3990099448542579,0.14144360882354182
14449,2CXO J123020.8+122248,7212,Seyfert_2,0.1521912807622398,0.21173615311222743,0.20120062399207944,0.25562708044283766,0.17924486169061568
14645,2CXO J123049.2+122334,5827,Pulsar,0.19185722587131343,0.2653425447974343,0.25790966829912887,0.047549623520527676,0.23734093751159568
14810,2CXO J123157.3+414616,1579,Pulsar,0.19390248090946757,0.27026266715591685,0.25819832514131225,0.04266880309070618,0.2349677237025971
14841,2CXO J123519.2+123314,14359,Radio,0.18298602181687687,0.23316801375239765,0.24850512423951746,0.1216696604589353,0.2136711797322727
15554,2CXO J130522.8-492900,14984,YSO,0.15334734326513166,0.2100444355463129,0.21591336962882332,0.08308857238050522,0.3376062791792268
15560,2CXO J130525.4-492831,14984,YSO,0.15160468352908524,0.20380433443425783,0.20439043540622093,0.20099326328839573,0.23920728334204033
15637,2CXO J131106.8-010634,6930,Pulsar,0.19506436609809086,0.2648318567439741,0.26419423257848484,0.03914640502893054,0.23676313955051964
15657,2CXO J131154.3-624707,8922,YSO,0.1512025769754043,0.21186495505440409,0.21649129640806186,0.140506149390844,0.2799350221712857
15759,2CXO J132439.1+362057,4055,Pulsar,0.19381984384672454,0.2721433839843344,0.26362520176047316,0.02055900277640596,0.24985256763206198
15873,2CXO J132521.2+362912,4055,Pulsar,0.1828464808517569,0.25671830167413606,0.2546369994494521,0.08299899162539517,0.2227992263992597
15885,2CXO J132522.8-430124,3965,Radio,0.19027743346694947,0.22831933006221977,0.24533986498428842,0.12844158340659736,0.20762178807994505
15889,2CXO J132522.8-430124,7797,Pulsar,0.1952384979975106,0.21683906164084524,0.21527996035956934,0.17260281019822254,0.20003966980385224
15907,2CXO J132523.6-430009,10722,Radio,0.162669124297978,0.21570743611637408,0.21689973977922225,0.2049693802759145,0.19975431953051132
15929,2CXO J132526.7-430259,3965,Radio,0.16610371597341692,0.22753210836806598,0.30557417066256626,0.0931175387570229,0.20767246623892816
