,name,obsid,main_type,HMXB,Orion_V*,QSO,TTau*,YSO
6946,2CXO J053513.8-052208,3744,YSO,0.2673494316287599,0.2606149481201849,0.07561185756837162,0.049486513549871984,0.3469372491328115
6947,2CXO J053513.8-052208,13637,YSO,0.18634610135535193,0.2276937034129185,0.07878266100314489,0.051573401238068986,0.4556041329905158
7054,2CXO J053514.8-052315,4373,YSO,0.09367797986132027,0.2316874268887336,0.10713927697812417,0.09994987275871618,0.4675454435131058
7056,2CXO J053514.8-052315,4396,YSO,0.15969816035357448,0.2385742375551916,0.07152283068321327,0.1523855371616648,0.3778192342463558
7082,2CXO J053514.9-052412,4395,YSO,0.12215857337124346,0.3308574478345907,0.06485589793374222,0.08489976051917297,0.39722832034125066
7122,2CXO J053515.3-052215,4374,HMXB,0.38312825023630703,0.13272397724516907,0.24713638630082552,0.11515961875242045,0.1218517674652778
7229,2CXO J053515.8-052245,4396,HMXB,0.24244412020604067,0.22345695855319772,0.19534181487555516,0.2147322116987593,0.12402489466644709
7276,2CXO J053515.9-052352,4396,HMXB,0.35030415338327603,0.14443020526890832,0.25121607531967494,0.08723123473492261,0.16681833129321816
7307,2CXO J053516.1-052237,4395,HMXB,0.3785312868930023,0.23059018181124918,0.1749562565431225,0.052058469736951954,0.16386380501567413
7330,2CXO J053516.3-052150,4374,HMXB,0.3689167729722605,0.15136335585760166,0.17019358666884274,0.07702803992310367,0.23249824457819152
7364,2CXO J053516.5-052405,3744,QSO,0.2281603896493156,0.26685881142034573,0.3414275089046547,0.07903510465624292,0.08451818536944106
7403,2CXO J053516.9-051840,4395,YSO,0.11858691887020499,0.18532670951414099,0.07919441093073487,0.12542277260421827,0.4914691880807009
7458,2CXO J053517.2-052316,3744,HMXB,0.4594332786609227,0.076498709361285,0.19484717224780862,0.16829860656221934,0.10092223316776429
7459,2CXO J053517.2-052316,3498,HMXB,0.3779047410338255,0.08078731256379296,0.20382464709039455,0.19285489981662746,0.1446283994953594
