,name,obsid,main_type,AGN,HMXB,QSO,SNR,YSO
10148,2CXO J074317.0+740809,10470,QSO,0.2689862088400391,0.23496138446602877,0.2860487279006108,0.08430807008357133,0.12569560870975
10173,2CXO J074430.9+375816,9407,AGN,0.2961192300570469,0.1735353300944441,0.25931703709585807,0.086185835646695,0.18484256710595579
10195,2CXO J074654.0+385338,14906,QSO,0.22229931875684253,0.18227825545002677,0.4051379013842122,0.0651152418809607,0.12516928252795778
10201,2CXO J074717.9-190510,2427,AGN,0.32011684229249365,0.10603865743880217,0.23730439211995802,0.1522851746581459,0.18425493349060018
10241,2CXO J080220.4-394631,5314,HMXB,0.1870782534561746,0.32432491668199404,0.173395882609089,0.09529693069390491,0.21990401655883743
10248,2CXO J080433.8+330502,15283,HMXB,0.20646963434938134,0.2966232059459738,0.259773792995634,0.14116498775996558,0.09596837894904514
10288,2CXO J081937.9+205643,7927,AGN,0.39560590926559364,0.07806515852109973,0.33753256848885843,0.14262786335791647,0.04616850036653187
10307,2CXO J082303.0-423901,5564,AGN,0.4183150991620084,0.02745341329945208,0.2663375163709138,0.2368237973683632,0.05107017379926262
10309,2CXO J082348.9+212759,7937,QSO,0.19263396379141598,0.10470815107081158,0.4919254037681471,0.08889816043059848,0.12183432093902682
10311,2CXO J082531.4+615655,3198,AGN,0.30079561333822064,0.21381842258712755,0.2882148734237553,0.0954371779058264,0.10173391274507022
10369,2CXO J083453.0-451255,10132,QSO,0.1674799062258257,0.1942836776179588,0.3753252074641933,0.06268066515636432,0.20023054353565783
10446,2CXO J084043.0+295440,11688,QSO,0.31553780673010756,0.02343116367351729,0.5265154178721794,0.10090747441107391,0.0336081373131219
10532,2CXO J085135.1+520612,13262,QSO,0.279762564623359,0.05173293453118709,0.49613940632745235,0.13496298762094783,0.037402106897053755
10562,2CXO J085335.7+511917,2061,YSO,0.26337273306555986,0.2264737532166318,0.11338462691675122,0.08652941866118836,0.3102394681398687
10587,2CXO J085804.2-472302,2556,AGN,0.40371332522465386,0.029957810517094622,0.2137488550803677,0.22624672125892886,0.12633328791895498
10606,2CXO J085914.2-434401,6433,YSO,0.26780067958210635,0.10163097370672138,0.15694019954200916,0.11465882639891183,0.35896932077025123
10620,2CXO J085939.7-434846,6433,AGN,0.4008091759252345,0.09322839855636035,0.1840686740166846,0.15520258122193636,0.16669117027978408
10633,2CXO J090135.7+520453,11588,AGN,0.33791465224024203,0.05466445559437732,0.3372542402060891,0.1620617275207089,0.10810492443858262
10639,2CXO J090324.8+033248,15373,AGN,0.35920382024910014,0.14286063453390305,0.27194693102541323,0.1432129615201391,0.08277565267144454
10667,2CXO J090806.1-490714,12144,AGN,0.39050046705435504,0.1803361630243285,0.18293939323125913,0.16768049782281674,0.07854347886724065
10699,2CXO J091049.6-644813,7453,AGN,0.40202537685879663,0.22025119689330142,0.20140516735960234,0.14746909833076452,0.028849160557535048
10720,2CXO J091256.9-645227,7453,AGN,0.4170372722207296,0.031969864016722936,0.3223058664432062,0.20306153046651804,0.02562546685282324
10814,2CXO J092635.0+124505,5838,AGN,0.4005164981609747,0.22169459597285088,0.15463365376338875,0.18405433202469995,0.039100920078085716
10842,2CXO J093433.2-622601,14813,QSO,0.19729620895918465,0.2926794780405722,0.2998303088632102,0.03848301987282654,0.17171098426420636
10869,2CXO J093959.4-542300,9077,HMXB,0.23061388249797404,0.4647086293350491,0.15800855936997438,0.07059357108508829,0.07607535771191404
10916,2CXO J094857.1-131204,7564,QSO,0.31637419596630034,0.11002908642601789,0.3753206885198173,0.13789214285636153,0.06038388623150291
10925,2CXO J095015.1+275143,11376,QSO,0.2294257282915651,0.08587925153314903,0.559154176761536,0.09735923969530028,0.02818160371844964
10938,2CXO J095243.8+520509,12903,QSO,0.28049829098822515,0.07272845865901527,0.4685367100850265,0.10369369185023178,0.07454284841750124
10942,2CXO J095327.0+690419,12301,AGN,0.3148455431212102,0.08226261701179927,0.30574826835455204,0.11916888159688893,0.17797468991554946
10958,2CXO J095432.8+694817,10542,AGN,0.39686984178504975,0.037212192808785724,0.3549338135472093,0.17345065705581686,0.03753349480313833
10959,2CXO J095438.2+181353,10910,QSO,0.3043664216106656,0.04954277285419908,0.33686613544256655,0.15126248088119415,0.1579621892113746
10971,2CXO J095501.0+690726,5946,HMXB,0.11565164863454389,0.45592377051256866,0.16637029059865896,0.04695418971438529,0.21510010053984321
10982,2CXO J095510.2+690502,5942,AGN,0.44605289205035603,0.03999204690656858,0.3319633101602537,0.12070842007561414,0.06128333080720758
10994,2CXO J095524.2+690957,5946,QSO,0.23211141364419438,0.17652619573851255,0.45710732162882695,0.09821166248743855,0.0360434065010276
11050,2CXO J095534.9+690342,5946,QSO,0.2969707754148632,0.15621094578366998,0.32986313391549865,0.1538060320131069,0.06314911287286104
11116,2CXO J095550.2+694045,379,SNR,0.16216675777014866,0.2158699214018432,0.11216410036936146,0.4643367401714259,0.045462480287220754
11118,2CXO J095550.2+694045,15616,SNR,0.15455776933239485,0.15736213598601895,0.19523927627271984,0.43923048742008913,0.05361033098877709
11122,2CXO J095550.2+694045,11104,SNR,0.14496334625364352,0.2067395766730772,0.17760863906308713,0.4235987130100925,0.04708972500009981
11161,2CXO J095552.4+690306,5941,QSO,0.25984220985241974,0.16804930307962257,0.44714845188129176,0.07991786415302575,0.04504217103364016
11500,2CXO J100319.1+684402,2076,HMXB,0.18821100604689095,0.2778535144501105,0.2682518121669252,0.11969301718496614,0.14599065015110724
11661,2CXO J100631.5+345643,10249,QSO,0.3785150547369757,0.06838264791519671,0.3806924082749483,0.10508172464473665,0.06732816442814257
11722,2CXO J101855.6-585645,16560,HMXB,0.20930533061670092,0.3921428145785351,0.15789273764745318,0.11556932035341423,0.1250897968038965
11755,2CXO J102348.2-575339,6411,HMXB,0.2141293952532078,0.338546318954337,0.24406272134070556,0.06561940322086356,0.13764216123088616
11759,2CXO J102357.6-574547,12151,YSO,0.2486828389555154,0.10696148725051441,0.06901253049218624,0.10380649945420548,0.47153664384757843
11760,2CXO J102357.7-574553,12151,YSO,0.2486828389555154,0.10696148725051441,0.06901253049218624,0.10380649945420548,0.47153664384757843
11764,2CXO J102358.3-574553,12151,YSO,0.2486828389555154,0.10696148725051441,0.06901253049218624,0.10380649945420548,0.47153664384757843
11766,2CXO J102401.1-574531,6410,YSO,0.22766420988637284,0.09632214749691756,0.23302550243590167,0.11493532477706452,0.32805281540374337
11767,2CXO J102401.1-574531,6411,YSO,0.25449848012503495,0.07398818020288271,0.16967496990639513,0.13068163892360435,0.37115673084208295
11768,2CXO J102401.5-272218,9400,HMXB,0.20988846112855836,0.3279805816619659,0.18848100514829735,0.058441458231328514,0.2152084938298498
11770,2CXO J102401.5-574527,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11771,2CXO J102401.7-574524,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11772,2CXO J102401.7-574528,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11774,2CXO J102401.8-574434,12151,AGN,0.31376589527165827,0.2210563067971252,0.16946126232028752,0.12448338295546918,0.17123315265545977
11775,2CXO J102401.8-574525,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11776,2CXO J102401.8-574527,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11777,2CXO J102401.9-574437,12151,AGN,0.31376589527165827,0.2210563067971252,0.16946126232028752,0.12448338295546918,0.17123315265545977
11778,2CXO J102401.9-574533,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11780,2CXO J102402.0-574436,12151,AGN,0.31376589527165827,0.2210563067971252,0.16946126232028752,0.12448338295546918,0.17123315265545977
11781,2CXO J102402.0-574522,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11782,2CXO J102402.0-574527,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11785,2CXO J102402.2-574535,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11786,2CXO J102402.3-574522,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11787,2CXO J102402.3-574530,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11788,2CXO J102402.4-574436,12151,AGN,0.31376589527165827,0.2210563067971252,0.16946126232028752,0.12448338295546918,0.17123315265545977
11791,2CXO J102402.4-574529,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11792,2CXO J102402.4-574535,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11793,2CXO J102402.6-574429,12151,AGN,0.31376589527165827,0.2210563067971252,0.16946126232028752,0.12448338295546918,0.17123315265545977
11794,2CXO J102402.6-574435,12151,AGN,0.31376589527165827,0.2210563067971252,0.16946126232028752,0.12448338295546918,0.17123315265545977
11795,2CXO J102402.6-574532,12151,AGN,0.3149927392822586,0.22042296419825044,0.17251213142593783,0.1542574023877257,0.13781476270582735
11796,2CXO J102402.8-574437,12151,AGN,0.31376589527165827,0.2210563067971252,0.16946126232028752,0.12448338295546918,0.17123315265545977
11832,2CXO J103156.5+573846,3345,HMXB,0.17104364679512474,0.3369088777808744,0.2676020907582088,0.04274410869255904,0.18170127597323318
11940,2CXO J104134.6-600328,9498,HMXB,0.26796763635424986,0.2913580545750926,0.280109307236488,0.06496002334841774,0.09560497848575182
12371,2CXO J104357.5-593257,4495,QSO,0.29087753381484194,0.10330859327110886,0.305370770575676,0.203654116552783,0.09678898578559014
12571,2CXO J104408.1+113500,5929,QSO,0.22259754996875944,0.08971034178083785,0.5748770445517872,0.0644768724548725,0.04833819124374299
12787,2CXO J104551.5-595651,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12791,2CXO J104551.8-595643,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12796,2CXO J104552.2-595644,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12799,2CXO J104552.2-595702,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12803,2CXO J104552.6-595653,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12808,2CXO J104553.1-595637,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12812,2CXO J104553.1-595657,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12816,2CXO J104553.3-595649,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12820,2CXO J104553.6-595640,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12841,2CXO J104554.0-595706,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12848,2CXO J104554.5-595656,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12853,2CXO J104554.7-595654,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12857,2CXO J104554.8-595644,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
