,name,obsid,main_type,PartofG,Pulsar,Radio,Seyfert_2,YSO
15976,2CXO J132528.3-430103,7800,Radio,0.18184243925782495,0.2375607203792741,0.265664741406434,0.059766691835494386,0.2551654071209725
16077,2CXO J132531.5-430033,2978,Radio,0.15523777220390936,0.20136678116566112,0.24994614481913752,0.16454072664412045,0.22890857516717156
16163,2CXO J132538.3-430205,10722,YSO,0.19247529005734093,0.2531294317541286,0.25410528296817186,0.025732919717639722,0.2745570755027187
16167,2CXO J132538.3-430205,8489,YSO,0.18244412083949102,0.2407887311629743,0.24376190959510846,0.03370266565691277,0.2993025727455135
16170,2CXO J132538.4-430203,10722,YSO,0.19247529005734093,0.2531294317541286,0.25410528296817186,0.025732919717639722,0.2745570755027187
16174,2CXO J132538.4-430203,8489,YSO,0.18244412083949102,0.2407887311629743,0.24376190959510846,0.03370266565691277,0.2993025727455135
16280,2CXO J132620.3-473002,13726,YSO,0.18978946757311022,0.24985091591608352,0.2611648676586793,0.027288697888756087,0.27190605096337084
16751,2CXO J134209.7+282247,4543,YSO,0.19333372811841137,0.25496052207321984,0.25700367612484837,0.020228053319847963,0.2744740203636724
16760,2CXO J134442.0+555312,809,Seyfert_2,0.12196504613192218,0.13971971419621038,0.16368900371119188,0.4276818465387079,0.14694438942196775
16890,2CXO J135916.0-192621,9378,YSO,0.18634539006855336,0.23867582653637082,0.25481281012729085,0.0564220474618069,0.2637439258059781
16914,2CXO J140123.7+541522,5322,Radio,0.18913106276482564,0.24186442453022186,0.26153512143008567,0.047841679187836376,0.25962771208703045
16939,2CXO J140207.8+541033,6114,YSO,0.1946144743281666,0.25678797034421064,0.25738093014503394,0.015005722400971604,0.27621090278161714
17133,2CXO J140846.0-610754,15789,YSO,0.1533310929252108,0.2024943568987509,0.21400886273927358,0.19813700361472877,0.23202868382203595
17162,2CXO J141239.0-652332,365,YSO,0.18454053395350678,0.24279410477877614,0.24497396505570118,0.07054940632134814,0.2571419898906678
17171,2CXO J141309.7-652020,10937,Seyfert_2,0.14768570689470345,0.2018562061269493,0.19755269736271774,0.2767540968157355,0.1761512927998941
17176,2CXO J141309.9-652020,12823,Seyfert_2,0.125656498418561,0.14567042009774817,0.16614368013576147,0.4160009347300334,0.14652846661789606
17177,2CXO J141309.9-652020,365,Radio,0.18079110861657544,0.21987111246788069,0.2605183093803543,0.10796081769508588,0.23085865184010362
17178,2CXO J141309.9-652020,2454,Seyfert_2,0.11747885601664895,0.1472770535422012,0.16949778580387317,0.4185626354244755,0.14718366921280104
17179,2CXO J141309.9-652020,356,Seyfert_2,0.13829336615702514,0.17954637675120033,0.1865557454855166,0.3211811120080959,0.1744233995981621
17180,2CXO J141309.9-652020,12824,Seyfert_2,0.1298072082682957,0.16394821239839438,0.19073895176105637,0.35628199165695595,0.15922363591529765
17181,2CXO J141309.9-652020,10937,Seyfert_2,0.14768570689470345,0.2018562061269493,0.19755269736271774,0.2767540968157355,0.1761512927998941
17191,2CXO J141312.0-652024,12823,YSO,0.1772320781551326,0.2305456075960749,0.24013803881583226,0.10117319458077657,0.2509110808521836
17192,2CXO J141312.1-652007,12823,YSO,0.1760099489732559,0.22755334841074426,0.23890763390013334,0.08521432210284816,0.2723147466130184
17197,2CXO J141337.6-652454,12823,YSO,0.15884730289998514,0.20841903387090735,0.21171276812161394,0.19268406472679278,0.22833683038070082
17501,2CXO J142115.3+530158,5846,YSO,0.18546764122614867,0.24235821117348033,0.26422322300780504,0.04041068528781754,0.2675402393047483
17532,2CXO J142331.7+235156,4195,YSO,0.18283146604801395,0.23197661344899695,0.2465537863892121,0.08911506766351565,0.24952306645026132
17672,2CXO J143308.3-611540,9053,Radio,0.1870187259385866,0.22819324784826372,0.23088908288669563,0.1346895132758395,0.21920943005061463
17745,2CXO J144557.6-445203,627,YSO,0.1950889116395098,0.24858205961609334,0.2603851843760046,0.028555411371956496,0.26738843299643567
17892,2CXO J150035.5+782136,11792,Radio,0.18337302156124258,0.22067939233452383,0.2435062803339976,0.11351575213317415,0.23892555363706192
17958,2CXO J150211.6-420429,13742,YSO,0.18819341681034726,0.2163864075020548,0.2333487101724821,0.1266021004082439,0.23546936510687214
17975,2CXO J150245.3-413750,13743,Radio,0.17646178856356443,0.22921518034005314,0.2834527315125907,0.06382536112461898,0.24704493845917277
18110,2CXO J151335.1-590131,6117,YSO,0.18969262642405382,0.25043030581592896,0.2513606894199552,0.040669561928579324,0.26784681641148267
18115,2CXO J151339.8-590248,4384,YSO,0.19101467531066732,0.24844240475254703,0.25602941460170014,0.037228638128206266,0.2672848672068793
