,name,obsid,main_type,HMXB,Orion_V*,QSO,TTau*,YSO
19672,2CXO J174104.8-281503,8202,YSO,0.2555844955842857,0.23963970103684865,0.08760857388112507,0.14210308631894336,0.27506414317879707
19683,2CXO J174118.7-534920,7460,QSO,0.3387592332577175,0.028456140255347623,0.47428760838866135,0.1478650820478963,0.010631936050377285
19707,2CXO J174345.5-292948,7042,HMXB,0.27628422780844836,0.18816352450291543,0.18107045405810784,0.08379340395109046,0.27068838967943776
19724,2CXO J174426.5-290329,7035,Orion_V*,0.1684461099792528,0.2243588680737706,0.17862534485403042,0.21843461505338688,0.21013506203955928
19753,2CXO J174458.8-285126,3665,YSO,0.19634308017641378,0.24357327339430235,0.21110408346532278,0.08750786194200531,0.26147170102195566
19761,2CXO J174459.5-285107,3665,YSO,0.19634308017641378,0.24357327339430235,0.21110408346532278,0.08750786194200531,0.26147170102195566
19763,2CXO J174500.0-285127,3665,YSO,0.19634308017641378,0.24357327339430235,0.21110408346532278,0.08750786194200531,0.26147170102195566
19765,2CXO J174500.0-285132,3665,YSO,0.19634308017641378,0.24357327339430235,0.21110408346532278,0.08750786194200531,0.26147170102195566
19767,2CXO J174500.1-285129,3665,YSO,0.19634308017641378,0.24357327339430235,0.21110408346532278,0.08750786194200531,0.26147170102195566
19827,2CXO J174545.2-285828,3392,HMXB,0.36219707992474987,0.0389247134071929,0.2909716496976224,0.1705082847404408,0.13739827222999407
19833,2CXO J174551.2-295603,13807,HMXB,0.36128086075403804,0.1354576039493675,0.29139628797375466,0.1272435702129506,0.08462167710988922
19836,2CXO J174552.9-290358,3393,YSO,0.1867839824599059,0.2704908556913785,0.16521222236058686,0.06994060877706923,0.3075723307110595
19863,2CXO J174638.0-285325,7048,HMXB,0.28830734203567476,0.16775385783474317,0.18358147648349765,0.08600568593935394,0.27435163770673054
19864,2CXO J174638.0-285325,945,HMXB,0.6016869748218932,0.07521635685209399,0.12978020872158247,0.05359322695497883,0.13972323264945158
19912,2CXO J174753.6-270814,12689,HMXB,0.3831219715635629,0.16176964331702323,0.2179807859358489,0.09750560415258147,0.13962199503098346
19927,2CXO J174804.5-244642,3798,HMXB,0.5152955763771523,0.06253977398548877,0.2768118698454237,0.08770279800794135,0.057649981783993734
19931,2CXO J174804.6-244709,14339,HMXB,0.348648754849196,0.09931153072323108,0.24998337672105903,0.1209410267718293,0.1811153109346846
19989,2CXO J174928.3-291859,7160,YSO,0.174960653369181,0.19576414382438656,0.13775752483494952,0.19676919917473423,0.2947484787967486
19990,2CXO J174928.3-291859,7159,HMXB,0.4098101893666953,0.18292927628947983,0.09639626896862794,0.1574856950015288,0.15337857037366825
20023,2CXO J175134.0-293103,9893,HMXB,0.2897634922921905,0.23900624916880175,0.11821078238482259,0.14367879910056097,0.20934067705362425
20035,2CXO J175154.7-292805,9501,YSO,0.15256188610591717,0.3101619455090232,0.08951591284618474,0.09713632391284825,0.3506239316260265
20039,2CXO J175154.7-292805,9500,Orion_V*,0.13797178953329237,0.31382872288327224,0.18938946414798483,0.0773108075526765,0.2814992158827741
20066,2CXO J175453.9-294619,4547,HMXB,0.2897231650807176,0.13766929423838709,0.28800102368391756,0.07002472774469458,0.21458178925228322
20098,2CXO J180211.1+135734,9263,TTau*,0.18499373435023297,0.18637484816531683,0.18875929397135052,0.23508982333588208,0.20478230017721752
20122,2CXO J180323.7-241525,3754,QSO,0.26474760685456195,0.02804191488473847,0.3564717116203401,0.20493916488806294,0.14579960175229645
20185,2CXO J180358.0-242441,3754,YSO,0.20338182063434831,0.09540150367084405,0.25479552557538465,0.1792171901417733,0.26720395997764956
20188,2CXO J180401.1-242603,3754,Orion_V*,0.2141299815205427,0.30264204753274115,0.057841237100741495,0.13300995353840112,0.29237678030757364
20189,2CXO J180401.2-213153,5590,YSO,0.15565990108051178,0.21049201330775527,0.1398477397683964,0.08604959422409335,0.40795075161924327
20201,2CXO J180409.6-242710,3754,QSO,0.268473615077051,0.024303095494922412,0.4219789963336039,0.11570854091321198,0.16953575218121092
20323,2CXO J180450.4-242614,3754,YSO,0.20534915116168767,0.0540654554835929,0.26185200859135116,0.10031416692546219,0.3784192178379061
20347,2CXO J180629.1+454659,1899,HMXB,0.3773541001112093,0.09332019244952534,0.3177465233521324,0.13897520442004646,0.07260397966708652
20363,2CXO J180859.8-435036,3779,HMXB,0.320796632605137,0.15655848208006276,0.2179748394320883,0.15163644888097672,0.15303359700173513
20392,2CXO J181113.6-193341,15652,Orion_V*,0.16747234194379465,0.29325768289898596,0.11473681499413853,0.23392442214558778,0.19060873801749312
20415,2CXO J181259.1-175525,6685,TTau*,0.17915326024152678,0.22895596303434276,0.1602358641845716,0.2542574923556336,0.1773974201839252
20434,2CXO J181806.1-165350,12348,YSO,0.25255629670183244,0.15489216379759915,0.20194543613158772,0.13146692972040028,0.25913917364858036
20437,2CXO J181818.2-170206,12348,Orion_V*,0.17382515340194737,0.37489231222649205,0.09284143863321365,0.11273454613597429,0.24570654960237262
20478,2CXO J181857.5-204802,6405,YSO,0.18602583950557305,0.17712266806229202,0.2151313523653826,0.08039852826069538,0.34132161180605675
20501,2CXO J181940.2-135131,8932,QSO,0.18853748217997024,0.1772980350523404,0.21977363573861844,0.19906183441839867,0.2153290126106723
20605,2CXO J182036.4-161013,8461,HMXB,0.3382046634597287,0.30673858651097574,0.11275752552918236,0.04653197647605588,0.19576724802405737
20653,2CXO J182147.5-161808,7391,YSO,0.09093726753171275,0.20951649025447786,0.1456524107229376,0.25068348614085456,0.3032103453500172
20696,2CXO J182438.2-250137,9132,TTau*,0.18908634350612086,0.2282554426585279,0.12466257022110204,0.22993635700380616,0.22805928661044306
20701,2CXO J182603.5-133639,2830,YSO,0.20096834112980677,0.2918929992372817,0.06068535611069575,0.12044500424272853,0.3260082992794873
20712,2CXO J182831.0-114515,5563,YSO,0.20231924688542163,0.2209460395761665,0.13876448957535817,0.14890340433946295,0.2890668196235907
20713,2CXO J182831.0-114515,6675,HMXB,0.38219521779490534,0.16883024858739945,0.18278993881011632,0.1671185800495859,0.09906601475799305
20719,2CXO J182934.5-015800,11013,YSO,0.21676898069273937,0.17448446187393976,0.16902252731472625,0.15459621569779095,0.28512781442080365
20739,2CXO J183122.7-020321,7420,YSO,0.11374495731281564,0.1820802045128807,0.06499430158506307,0.058905715437182926,0.5802748211520578
20740,2CXO J183123.6-020535,7420,HMXB,0.3220876607929886,0.14353210266717356,0.16792781422837327,0.1342289707797432,0.2322234515317214
20743,2CXO J183127.5-020506,7420,YSO,0.2674879466908733,0.11496553473436968,0.07695701839870638,0.052812194463709654,0.4877773057123409
20747,2CXO J183149.1-020508,7420,Orion_V*,0.13753730804327494,0.36042024416128265,0.1121450249024237,0.067189849674054,0.32270757321896465
20855,2CXO J184103.5+795306,830,HMXB,0.43021243008125226,0.1529518649924616,0.113206108181832,0.11701672512926492,0.18661287161518925
20867,2CXO J184220.9-284042,12703,TTau*,0.18393231649715855,0.1862202045439992,0.20161351150367354,0.2228047243576922,0.20542924309747654
20871,2CXO J184249.7-321247,8958,Orion_V*,0.2467485086643813,0.30135966561541694,0.1077920983326927,0.12857512851823688,0.2155245988692722
20878,2CXO J184339.0-035246,2298,YSO,0.2305504507338299,0.2561438787678878,0.14199375259757296,0.07325211630642699,0.2980598015942824
20887,2CXO J184441.8-030551,11801,HMXB,0.4157035247425271,0.14931506345356318,0.15935701743842537,0.13941409547452427,0.1362102988909602
20903,2CXO J184858.7-005027,2786,Orion_V*,0.17722955853616731,0.3136457718746153,0.11236764856135005,0.10286918952131881,0.2938878315065485
20908,2CXO J185217.7+570754,5749,QSO,0.2055428982933276,0.1715928349219191,0.3253310977534265,0.14730279180306483,0.1502303772282619
20915,2CXO J185604.1+011125,6312,Orion_V*,0.2323120116322362,0.2535888665418641,0.08739292203886866,0.22501454483970298,0.201691654947328
20916,2CXO J185604.1+011125,5548,YSO,0.22764804846148548,0.15929092576140982,0.11401347342857561,0.23548204228144634,0.2635655100670829
20979,2CXO J190435.7+054102,1988,QSO,0.27014597296490844,0.13221842530313457,0.3139951762075611,0.16355452472241244,0.12008590080198324
20983,2CXO J190606.5+074258,7618,QSO,0.31682315799226596,0.09586654337862323,0.3206909601988086,0.16715530038031565,0.09946403804998669
21003,2CXO J190940.5+493407,14600,QSO,0.26186564659551326,0.1670911300728508,0.35520649263071585,0.09167299394020821,0.12416373676071196
21013,2CXO J191058.8+090149,13440,HMXB,0.3922099835132235,0.19333076642510333,0.12787895366265836,0.15218800712745054,0.13439228927156424
21015,2CXO J191101.5+085247,5893,YSO,0.108597818501773,0.28474905160981057,0.13759387654258282,0.15981870113760452,0.30924055220822916
21016,2CXO J191101.5+085247,6355,Orion_V*,0.2685932474382211,0.27209370359299206,0.2035126840857322,0.14686681165821772,0.10893355322483686
21029,2CXO J191344.8-023535,12372,QSO,0.28085724604084733,0.20397073449008032,0.29908897257666983,0.1297520796735783,0.0863309672188241
21034,2CXO J191533.1-240757,6120,Orion_V*,0.14233979062496271,0.2949899614949214,0.13651341273009313,0.19534016878467075,0.23081666636535206
21039,2CXO J191636.5-241352,6122,YSO,0.17721661427981705,0.24887418889872379,0.12020190430420727,0.07758398750430599,0.37612330501294583
21047,2CXO J191654.9+050958,7428,HMXB,0.42917356147981606,0.2100750145006548,0.1178574937664115,0.1457169950233384,0.09717693522977934
21048,2CXO J191719.9-160408,13649,QSO,0.16120774770849833,0.08608974582034185,0.4815713438212242,0.16704090315026554,0.10409025949966998
21071,2CXO J192301.7+135952,3841,Orion_V*,0.16178777589240778,0.3792873138400446,0.09311314349039933,0.15106021152654123,0.2147515552506071
21104,2CXO J193024.0+184904,9886,TTau*,0.2520626366658124,0.15759729597247243,0.08844437679475463,0.27452831290886004,0.22736737765810064
21109,2CXO J193051.4+185505,9887,TTau*,0.27263151716982126,0.12171715558306648,0.1548698541401159,0.29622171972885697,0.15455975337813935
